CODIGO;LOCALIDAD;ESTRATO;CATEGORIA;ACTIVIDAD;GESTION COBRO;ESTADO JURIDICO;CONVENIO;TARIFA BASE;ACTA;ANO VINCULACION;PORCENTAJE DINERO PAGADO PERIODO DE VINCULACION
20150100;Engativa;3;3;TDA VTA LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;58.12
20110100;Engativa;2;3;BILLARES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2011;66.73
20160100;Engativa;3;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
20160100;Engativa;3;2;TIENDA VNTA DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
19940100;Engativa;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;97.84
20160100;Engativa;3;3;TIENDA CONSUMO DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
20170100;Engativa;3;3;TIENDA 5630;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2017;56.3
20160100;Engativa;3;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
19940100;Engativa;3;3;SUPERMERCADO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;98.65
19940100;Engativa;1;3;GIMNASIO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;97.22
19950100;Engativa;3;3;CANCHA DE MINITEJO;Normal;Normal;SIN CONVENIO;365300;SIN ACTA;1995;80.73
19980100;Engativa;3;3;SUPERMERCADO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1998;91.28
19980100;Engativa;3;3;SUPERMERCADO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1998;91.28
19990100;Engativa;3;3;PANADERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1999;84.83
20060100;Engativa;1;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2006;74.93
20070100;Engativa;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2007;73.9
20070100;Engativa;3;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2007;74.71
20070100;Engativa;3;3;CLINICA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2007;73.91
20090100;Engativa;3;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2009;71.03
20110100;Engativa;3;3;SUPERMERCADO PEQUENO;Normal;Normal;SIN CONVENIO;365300;SIN ACTA;2011;51.07
20110100;Engativa;3;3;CIGARERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2011;67.35
20160100;Engativa;3;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
19940100;Engativa;3;3;TIENDA CONSUMO DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;98.65
20170100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2017;56.3
20160100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;58.14
20150100;Engativa;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;59.98
20140100;Suba;2;4;TIENDA VENTA DE LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2014;62.92
20160100;Suba;3;3;CANHAS DE FUTBOL;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.24
20050100;Suba;3;3;TIENDA VTA LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2005;80.3
19990100;Suba;2;3;VIDEO BAR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1999;89.0
20080100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2008;74.78
20060100;Suba;2;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2006;77.65
20160100;Suba;2;3;CASINO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;59.43
20110100;Suba;2;3;CANCHAS DE TEJO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2011;68.64
20160100;Suba;3;4;RESTAURANTE;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;55.44
20150100;Suba;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.08
20160100;Suba;3;3;ALMACEN DE ROPA INTIMA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.05
20060100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2006;78.46
20050100;Suba;3;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2005;80.3
20160100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.05
20110100;Suba;2;3;TIENDA CONSUMO LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2011;68.45
19960100;Suba;2;3;FRUTERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1996;96.07
20140100;Suba;2;3;MINIMERCADO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2014;62.92
20160100;Suba;3;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.05
20160100;Suba;3;3;GIMNASIO;Coordinacion Central de Llamadas;Normal;DevoluciA n de Correo;365300;SIN ACTA;2016;49.91
20070100;Suba;2;3;CAMPO DE TEJO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2007;76.0
20140100;Suba;2;3;TIENDA CONSUMO DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2014;62.92
20170100;Suba;3;3;GYM;Coordinacion Central de Llamadas;Normal;DevoluciA n de Correo;365300;SIN ACTA;2017;48.07
20110100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2011;69.25
20150100;Suba;2;3;TIENDA VTA LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.08
20140100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;DevoluciA n de Correo;365300;SIN ACTA;2014;53.4
20170100;Suba;2;3;TIENDA VNT LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2017;57.4
20150100;Suba;3;3;ALMACEN DE ARTICULOS DEPOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.89
20150100;Suba;4;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;62.7
20160100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.05
20160100;Suba;4;3;DISTRIBUIDORA - ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.86
20110100;Suba;4;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2011;70.06
19980100;Suba;3;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1998;93.19
20150100;Suba;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.08
20150100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.89
20160100;Suba;2;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;59.24
20170100;Suba;3;3;TIENDA CONSUMO DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2017;58.21
20160100;Suba;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;DevoluciA n de Correo;365300;SIN ACTA;2016;48.91
20150100;Suba;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.08
19990100;Suba;3;3;TIENDA  DE BARRIO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1999;91.35
20160100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.05
20150100;Suba;2;3;CAMPO DE TEJO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.27
20150100;Suba;3;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.89
20160100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;60.05
20160100;Suba;2;3;ALMACEN DECORACIONES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;59.24
19940100;Suba;5;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;100.0
19970100;Suba;3;3;SALON DE BELLEZA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1997;93.17
19980100;Suba;3;3;SUPERMERCADO PEQUE´O;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1998;93.19
19990100;Suba;3;3;CAFETERIA PANADERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1999;89.49
19990100;Suba;3;3;CAMPO DE TEJO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1999;91.54
20000100;Suba;2;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2000;88.7
20000100;Suba;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2000;89.51
20020100;Suba;2;3;SUPERMERCADO PEQUENO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2002;85.02
20030100;Suba;4;3;CONCESIONARIO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2003;84.79
20040100;Suba;3;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2004;82.14
20090100;Suba;2;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2009;72.13
20090100;Suba;4;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2009;73.75
20100100;Suba;1;3;RESTAURANTE COMIDAS RAPID;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2010;64.87
20100100;Suba;2;3;ALMACEN PEQUEÔO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2010;70.29
20130100;Suba;3;3;TIENDA CONSUMO DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2013;65.57
20170100;Suba;3;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2017;58.21
20160100;Suba;2;3;VENTA DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;59.24
20140100;Suba;2;3;TDA CONSUMO DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2014;61.06
19940100;Suba;3;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;1994;100.0
20060100;Suba;2;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;DevoluciA n de Correo;365300;SIN ACTA;2006;67.32
20110100;Suba;2;3;TIENDA VTA LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2011;68.45
20090100;Suba;3;3;VENTA DE LICORES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2009;72.94
20150100;Suba;3;3;DELIKATESSEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;57.28
20150100;Suba;3;3;FRUTERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2015;61.89
20100100;Suba;3;4;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2010;71.1
20160100;Suba;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2016;59.24
20140100;Suba;3;3;GIMNASIO;Coordinacion Central de Llamadas;Normal;DevoluciA n de Correo;365300;SIN ACTA;2014;53.59
20120100;Suba;2;3;ROCKOLA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2012;64.74
20170100;Suba;2;3;TIENDA VNT DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365300;SIN ACTA;2017;57.4
20160100;Antonio Nari?o;3;3;PIZZERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;$ 365.200;SIN ACTA;2016;54.71
20170100;Antonio Nari?o;3;4;CAFETERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;$ 365.100;SIN ACTA;2017;55.62
20170100;Engativa;3;4;BAR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365100;SIN ACTA;2017;54.76
20170100;Suba;4;4;PELUQUERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365100;SIN ACTA;2017;59.29
20140100;Engativa;3;2;LICORERIA/CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;553000;CON ACTA;2014;88.53
20180100;Suba;3;3;ALMACEN;Normal;Normal;SIN CONVENIO;365000;SIN ACTA;2018;40.09
20180100;Suba;1;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;365000;SIN ACTA;2018;54.75
20190100;Suba;2;4;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;225700;SIN ACTA;2019;52.9
20190100;Suba;3;4;PELUQUERIA;Normal;Normal;SIN CONVENIO;225700;SIN ACTA;2019;37.72
20170100;Suba;3;4;TIEND VENTA DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;364900;SIN ACTA;2017;56.34
20190100;Suba;2;4;BARBERIA;Normal;Normal;SIN CONVENIO;225600;SIN ACTA;2019;35.09
20020100;Engativa;3;2;BAR;Normal;Normal;SIN CONVENIO;1460700;CON ACTA;2002;98.1
20190100;Suba;2;4;DEPOSITO DE ALIMENTOS;Normal;Normal;SIN CONVENIO;197100;SIN ACTA;2019;36.46
20150100;Suba;3;4;ALMACEN PEQ;Normal;Normal;GESTION LIQUIDACIONES;197100;SIN ACTA;2015;47.19
20170100;Engativa;3;4;TIENDA VTA LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;364000;SIN ACTA;2017;56.29
20040100;Suba;3;2;BILLARES;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;542900;CON ACTA;2004;100.0
20130100;Suba;2;2;BAR PEQ;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;542600;CON ACTA;2013;89.87
20190100;Engativa;3;3;CIGARRERIA;Normal;Normal;SIN CONVENIO;362400;SIN ACTA;2019;36.33
20180100;Suba;3;3;CAFETERIA Y RESTAURANTE;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;362000;SIN ACTA;2018;54.48
20020100;Suba;3;2;CENTRO DE ESTETICA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;542900;CON ACTA;2002;100.0
20120100;Engativa;3;2;VENTA DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;542900;CON ACTA;2012;92.15
20180100;Suba;2;3;BAR;Normal;Normal;SIN CONVENIO;542200;CON ACTA;2018;64.39
20030100;Suba;2;4;ALMACEN;Coordinacion Central de Llamadas;Normal;DevoluciA n de Correo;230000;CON ACTA;2003;97.67
20070100;Suba;4;3;PANADERIA Y CIGARRERIA;Normal;Normal;SIN CONVENIO;292600;SIN ACTA;2007;60.73
20090100;Antonio Nari?o;3;3;TIENDA VTA LICORES;Normal;Normal;SIN CONVENIO;$ 413.500;SIN ACTA;2009;56.22
20190100;Antonio Nari?o;2;3;RESTAURANTE;Normal;Normal;SIN CONVENIO;$ 446.700;CON ACTA;2019;58.2
20190100;Suba;2;3;HELADERIA ;Normal;Normal;SIN CONVENIO;271000;SIN ACTA;2019;35.03
20110100;Suba;2;3;CAFETERIA CONSUMO LICOR;Normal;Normal;SIN CONVENIO;359700;SIN ACTA;2011;50.28
20180100;Engativa;3;3;COMIDAS RAPIDAS;Normal;Normal;SIN CONVENIO;359400;SIN ACTA;2018;33.54
20190100;Suba;2;3;RESTAURANTE;Normal;Normal;SIN CONVENIO;359400;SIN ACTA;2019;32.8
20180100;Suba;2;3;RESTAURANTE;Normal;Normal;SIN CONVENIO;359400;SIN ACTA;2018;34.64
20160100;Antonio Nari?o;3;4;CAFETERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;$ 359.300;SIN ACTA;2016;57.42
19980100;Antonio Nari?o;3;3;COMIDAS RAPIDAS;Normal;Normal;SIN CONVENIO;$ 359.300;SIN ACTA;1998;71.55
20070100;Antonio Nari?o;3;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;$ 359.300;SIN ACTA;2007;75.86
20190100;Antonio Nari?o;2;3;RESTAURANTE ;Normal;Normal;SIN CONVENIO;$ 359.300;SIN ACTA;2019;32.08
19950100;Engativa;1;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;1995;95.15
20160100;Engativa;2;3;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;2016;57.29
20190100;Engativa;3;2;TIENDA CONSUMO DE LICOR;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;36.31
20190100;Engativa;3;2;TIENDA CONSUMO DE LICOR;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;36.31
20060100;Engativa;3;3;RESTAURANTE PEQUENO;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;2006;71.91
20190100;Engativa;1;2;CIGARRERIA;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;34.69
20180100;Engativa;2;2;TIENDA CONSUMO DE LICOR;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2018;37.34
20190100;Engativa;3;3;CIGARRERIA;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;36.31
20190100;Engativa;3;4;FRUVER;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;36.31
20190100;Engativa;2;3;BAR;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;33.96
20160100;Suba;2;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;2016;59.2
20170100;Suba;3;4;COMERCIO AL POR MENOR DE V;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;2017;58.17
20190100;Suba;4;3;SALON DE BELLEZA;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;37.16
20190100;Suba;2;2;TIENDA COSUMO DE LICOR ;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;37.41
19940100;Suba;4;2;CIGARRERIA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;1994;100.0
20190100;Suba;3;3;HELADERIA CAFE;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;36.35
20110100;Suba;2;4;TDA VTA DE LICOR;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;2011;66.55
20180100;Suba;2;3;TIENDA VTA DE LICOR;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2018;39.25
20190100;Suba;2;3;TIENDA;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;37.41
20180100;Suba;4;2;CIGARRERIA;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2018;40.87
20190100;Suba;3;2;CIGARRERIA;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;38.22
20190100;Suba;2;3;TIENDA CONSUMO DE LICOR;Normal;Normal;SIN CONVENIO;359300;SIN ACTA;2019;37.41
20190100;Suba;5;3;RESTAURANTE;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;359300;SIN ACTA;2019;51.5
20120100;Engativa;3;3;CANCHA DE FUTBOL;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;358900;SIN ACTA;2012;65.66
20190100;Suba;4;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;358600;SIN ACTA;2019;55.29
20180100;Antonio Nari?o;2;3;CAFETERIA PANADERIA;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2018;36.66
20180100;Antonio Nari?o;2;3;VENTA Y CONSUMO DE COMIDA ;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2018;38.52
20150100;Antonio Nari?o;3;3;CIGARRERIA;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2015;44.85
20190100;Antonio Nari?o;3;3;CIGARRERIA;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2019;37.49
20190100;Antonio Nari?o;3;3;CASINO ;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2019;37.68
20190100;Antonio Nari?o;2;3;PANADERA;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2019;32.07
19940100;Antonio Nari?o;3;3;CALZADO ROSA HELENA;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;1994;83.52
20190100;Antonio Nari?o;3;3;COMIDAS RAPIDAS ;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2019;32.88
20190100;Antonio Nari?o;3;3;ASADERO;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2019;32.88
20190100;Antonio Nari?o;3;3;COMIDAS RAPIDAS;Normal;Normal;SIN CONVENIO;$ 358.500;SIN ACTA;2019;32.88
20190100;Engativa;2;3;ALMACEN ;Normal;Normal;SIN CONVENIO;358500;SIN ACTA;2019;35.49
20190100;Engativa;3;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;358500;SIN ACTA;2019;52.57
20190100;Engativa;3;3;juegos de azar;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;358500;SIN ACTA;2019;52.77
20190100;Engativa;3;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;358500;SIN ACTA;2019;52.57
20190100;Engativa;3;3;ALMACEN;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;358500;SIN ACTA;2019;52.57
20180100;Engativa;3;3;COMIDAS RAPIDAS;Normal;Normal;SIN CONVENIO;358500;SIN ACTA;2018;33.54
20190100;Engativa;3;3;PELUQUERIA;Normal;Normal;SIN CONVENIO;358500;SIN ACTA;2019;36.58
20190100;Engativa;3;3;COMIDAS RAPIDAS;Normal;Normal;SIN CONVENIO;358500;SIN ACTA;2019;31.7
20190100;Engativa;3;3;VTA Y CONSUMO DE LICOR ;Normal;Normal;SIN CONVENIO;358500;SIN ACTA;2019;36.3
20190100;Engativa;2;3;CAFETERIA;Normal;Normal;SIN CONVENIO;358500;SIN ACTA;2019;33.63
20190100;Engativa;3;3;CIGARRERIA; Coordinacion Zona Sur Bogota          ;Normal;SIN CONVENIO;358500;SIN ACTA;2019;43.72
20190100;Engativa;3;3;TIENDA;Coordinacion Central de Llamadas;Normal;SIN CONVENIO;358500;SIN ACTA;2019;52.57
20190100;Engativa;3;3;TIENDA CONSUMO DE LICOR;Normal;Normal;SIN CONVENIO;358500;SIN ACTA;2019;36.3
